id,name,jurisdiction_id
7632,Tiefbauamt Magdeburg,13
6177,"Ministerium für Arbeit, Soziales, Frauen und Gesundheit Saarland",9
15888,Straßenverkehrsamt Frankfurt am Main,94
12823,Stadt Erfurt,10
2815,Justizvollzugsanstalt Bochum,2
3289,Kommunalverwaltung Wuppertal,2
15515,"Landeshauptstadt München - Kreisverwaltungsreferat (KVR) - Hauptabteilung I - Sicherheit und Ordnung, Gewerbe",92
2733,Ministerium der Finanzen des Landes Nordrhein-Westfalen,2
3829,Charité Universitätsmedizin Berlin - Gliedkörperschaft der Freien Universität Berlin und der Humboldt-Universität zu Berlin,4
72,Bundeskanzleramt,1
98,Bundesnachrichtendienst,1
764,Max-Planck-Gesellschaft zur Förderung der Wissenschaften e.V.,1
50104,"Ministerium für Landwirtschaft, ländliche Räume, Europa und Verbraucherschutz",11
8979,Ministerium für Verkehr Baden-Württemberg,91
15553,Kreis Borken - Fachbereich Tiere und Lebensmittel,2
91,"Bundesministerium für Familie, Senioren, Frauen und Jugend",1
7724,Hochschule Düsseldorf,2
7723,Technische Universität Dortmund,2
49892,Stadtplanungsamt Magdeburg,13
114,Bundespolizeipräsidium,1
11208,"Bayerisches Staatsministerium des Innern, für Sport und Integration",92
7666,"Ministerium für Allgemeine und Berufliche Bildung, Wissenschaft, Forschung und Kultur",11
14417,"Landesregulierungsbehörde des Freistaates Thüringen im Ministerium für Umwelt, Energie und Naturschutz",10
4012,Landesbetrieb Verkehr,5
47419,Altes Gymnasium (Flensburg),11
3875,IT-Dienstleistungszentrum Berlin,4
15443,"Landeshauptstadt Stuttgart - Amt für öffentliche Ordnung, Lebensmittelüberwachung, Verbraucherschutz und Veterinärwesen",91
814,Robert Koch-Institut,1
4602,Kreisverwaltung Westerwaldkreis,6
87,Bundesministerium des Innern und für Heimat,1
10283,Niedersächsisches Kultusministerium (MK),93
4854,Stadtverwaltung Worms,6
14251,Leer Landkreis Zentrum für Arbeit,93
12887,Der Hessische Beauftragte für Datenschutz und Informationsfreiheit,94
9957,Universität Kassel,94
15127,Hessische Landesanstalt für privaten Rundfunk und neue Medien (LPR Hessen),94
3923,"Senatsverwaltung für Justiz, Vielfalt und Antidiskriminierung",4
2580,Bezirksregierung Detmold,2
7002,Thüringer Landesverwaltungsamt,10
9232,Stadt Heidelberg,91
17057,Ordnungsamt Chemnitz,89
16761,"Hochschule für Technik, Wirtschaft und Kultur Leipzig",89
351,Deutscher Bundestag,1
4585,Kreisverwaltung Birkenfeld,6
3954,Studierendenwerk Berlin,4
9427,Stadt Wernau (Neckar),91
16042,Europol,107
6812,Stadtverwaltung Würzburg,92
4600,Kreisverwaltung Trier-Saarburg,6
2581,Bezirksregierung Düsseldorf,2
16019,Europäischer Rat,107
3280,Kommunalverwaltung Mönchengladbach,2
3309,Kommunalverwaltung Essen,2
7590,Stadt Quedlinburg,13
8978,"Ministerium für Umwelt, Klima und Energiewirtschaft Baden-Württemberg",91
7232,Stadt Flensburg,11
3007,Ministerium für Kultur und Wissenschaft des Landes Nordrhein-Westfalen,2
7555,Stadt Falkenstein/Harz,13
12902,Landschaftsverband Rheinland,2
14794,Landkreis Stade - Gesundheitsamt,93
49138,Polizeidirektion Flensburg,11
8859,Justizvollzugsanstalt Karlsruhe,91
9566,Stadt Darmstadt,94
6665,"Die Senatorin für Klimaschutz, Umwelt, Mobilität, Stadtentwicklung und Wohnungsbau",12
15440,Stadt Karlsruhe - Ordnungs- und Bürgeramt - Lebensmittelüberwachung und Veterinärwesen,91
2583,Bezirksregierung Münster,2
49994,Digitalstadt Darmstadt GmbH,94
3024,Polizeipräsidium Bonn,2
16815,Polizeipräsidium München,92
3004,"Ministerium für Kinder, Jugend, Familie, Gleichstellung, Flucht und Integration des Landes Nordrhein-Westfalen",2
43,Auswärtiges Amt,1
16081,Europäische Kommission,107
15964,Entsorgungs-Betriebe der Stadt Ulm,91
411,Eisenbahn-Bundesamt,1
300,Bundesarchiv,1
